D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\center_2020_04_16_19_21_17_173.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\left_2020_04_16_19_21_17_173.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\right_2020_04_16_19_21_17_173.jpg, 0, 0, 0, 7.809125E-05
D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\center_2020_04_16_19_21_17_279.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\left_2020_04_16_19_21_17_279.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\right_2020_04_16_19_21_17_279.jpg, 0, 0, 0, 7.857943E-05
D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\center_2020_04_16_19_21_17_384.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\left_2020_04_16_19_21_17_384.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\right_2020_04_16_19_21_17_384.jpg, 0, 0.2697867, 0, 0.233768
D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\center_2020_04_16_19_21_17_483.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\left_2020_04_16_19_21_17_483.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\right_2020_04_16_19_21_17_483.jpg, -0.2788482, 0.5705271, 0, 0.7191784
D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\center_2020_04_16_19_21_17_587.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\left_2020_04_16_19_21_17_587.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\right_2020_04_16_19_21_17_587.jpg, -0.6329824, 0.9246613, 0, 1.852518
D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\center_2020_04_16_19_21_17_690.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\left_2020_04_16_19_21_17_690.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\right_2020_04_16_19_21_17_690.jpg, -0.8985025, 1, 0, 2.948671
D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\center_2020_04_16_19_21_17_790.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\left_2020_04_16_19_21_17_790.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\right_2020_04_16_19_21_17_790.jpg, -0.5971531, 1, 0, 4.123592
D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\center_2020_04_16_19_21_17_890.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\left_2020_04_16_19_21_17_890.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\right_2020_04_16_19_21_17_890.jpg, -0.2967604, 1, 0, 5.296113
D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\center_2020_04_16_19_21_17_994.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\left_2020_04_16_19_21_17_994.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\right_2020_04_16_19_21_17_994.jpg, -0.5850886, 1, 0, 6.421322
D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\center_2020_04_16_19_21_18_094.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\left_2020_04_16_19_21_18_094.jpg, D:\8th-Semester\Self Driving Car\Data_For_Training_v2\IMG\right_2020_04_16_19_21_18_094.jpg, -0.7131742, 1, 0, 7.484167
